SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC08638.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC08639.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC08640.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC08641.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC08642.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08643.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08644.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08645.JPG,7008 3944 3504 1972,57.79 m,58.24 m
DSC08646.JPG,7008 3944 3504 1972,57.79 m,58.24 m
DSC08647.JPG,7008 3944 3504 1972,55.34 m,58.24 m
DSC08648.JPG,7008 3944 3504 1972,55.34 m,58.24 m
DSC08649.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC08650.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC08651.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC08655.JPG,7008 3944 3504 1972,55.34 m,58.24 m
DSC08657.JPG,7008 3944 3504 1972,50.76 m,58.24 m
DSC08658.JPG,7008 3944 3504 1972,48.61 m,58.24 m
DSC08659.JPG,7008 3944 3504 1972,46.55 m,58.24 m
DSC08661.JPG,7008 3944 3504 1972,57.79 m,58.24 m
DSC08663.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC08665.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC08669.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08670.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08671.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC08673.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC08674.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC08675.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC08676.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC08677.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC08678.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC08679.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC08680.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC08681.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC08682.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC08683.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC08688.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08690.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC08691.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC08692.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC08693.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC08694.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08696.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC08698.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC08707.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC08708.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC08710.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC08715.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC08718.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC08719.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC08721.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC08723.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC08724.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC08726.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC08727.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC08728.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC08729.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC08730.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC08731.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC08732.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC08734.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC08736.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08738.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC08739.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08741.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC08745.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC08748.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08751.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08752.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08753.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08754.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08755.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08757.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08759.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08761.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC08762.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC08765.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC08767.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC08768.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC08769.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC08774.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08775.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08777.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08786.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC08787.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC08788.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC08789.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08790.JPG,7008 3944 3504 1972,81.70 m,58.24 m
