SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC02696.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC02698.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC02700.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC02709.JPG,7008 3944 3504 1972,inf,58.24 m
DSC02715.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC02716.JPG,7008 3944 2562 1602,74.92 m,58.24 m
DSC02717.JPG,7008 3944 2715 1972,93.03 m,58.24 m
DSC02722.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC02727.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC02729.JPG,7008 3944 3504 1972,inf,58.24 m
DSC02731.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC02734.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC02735.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC02740.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC02741.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC02742.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC02746.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC02751.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC02754.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC02755.JPG,7008 3944 3504 1972,39.15 m,58.24 m
DSC02756.JPG,7008 3944 3504 1972,39.15 m,58.24 m
DSC02757.JPG,7008 3944 3504 1972,35.91 m,58.24 m
DSC02758.JPG,7008 3944 3504 1972,39.15 m,58.24 m
DSC02760.JPG,7008 3944 3504 1972,44.58 m,58.24 m
DSC02762.JPG,7008 3944 3493 1963,3.24 m,58.24 m
DSC02765.JPG,7008 3944 3799 451,9.84 m,58.24 m
DSC02767.JPG,7008 3944 3109 1972,37.50 m,58.24 m
DSC02768.JPG,7008 3944 2967 254,10.73 m,58.24 m
DSC02769.JPG,7008 3944 3799 953,26.53 m,58.24 m
DSC02770.JPG,7008 3944 3536 1109,25.41 m,58.24 m
DSC02771.JPG,7008 3944 3898 1972,40.88 m,58.24 m
DSC02772.JPG,7008 3944 3263 1380,40.88 m,58.24 m
DSC02776.JPG,7008 3944 3701 1774,17.99 m,58.24 m
DSC02778.JPG,7008 3944 2748 534,15.81 m,58.24 m
DSC02779.JPG,7008 3944 3865 558,12.74 m,58.24 m
DSC02781.JPG,7008 3944 3230 690,15.14 m,58.24 m
DSC02782.JPG,7008 3944 3306 1972,inf,8.04 m
DSC02783.JPG,7008 3944 3306 2169,inf,8.04 m
DSC02784.JPG,7008 3944 3438 1980,23.27 m,14.56 m
DSC02787.JPG,7008 3944 3876 936,14.64 m,6.85 m
DSC02791.JPG,7008 3944 4292 1774,74.92 m,58.24 m
DSC02792.JPG,7008 3944 3701 2169,78.24 m,58.24 m
