SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC06954.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06956.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06960.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC06966.JPG,7008 3944 3504 1972,60.86 m,45.69 m
DSC06967.JPG,7008 3944 3504 1972,51.19 m,45.69 m
DSC06973.JPG,7008 3944 2222 1700,57.79 m,58.24 m
DSC06975.JPG,7008 3944 2222 1700,28.93 m,58.24 m
DSC06977.JPG,7008 3944 3427 1585,10.73 m,58.24 m
DSC06982.JPG,7008 3944 3898 1758,34.25 m,12.17 m
DSC06985.JPG,7008 3944 2912 1972,10.66 m,12.17 m
DSC06989.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC06990.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC06992.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC06993.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC06994.JPG,7008 3944 1806 1577,48.61 m,58.24 m
DSC06995.JPG,7008 3944 3657 1643,63.01 m,58.24 m
DSC06997.JPG,7008 3944 3657 1643,65.80 m,58.24 m
DSC06998.JPG,7008 3944 3657 1643,57.79 m,58.24 m
DSC07004.JPG,7008 3944 3306 1972,4.00 m,58.24 m
DSC07005.JPG,7008 3944 3055 1322,6.98 m,58.24 m
DSC07006.JPG,7008 3944 3580 1306,4.18 m,58.24 m
DSC07007.JPG,7008 3944 4347 1437,3.10 m,58.24 m
DSC07008.JPG,7008 3944 3449 1503,6.14 m,58.24 m
DSC07009.JPG,7008 3944 3624 1281,6.14 m,58.24 m
DSC07018.JPG,7008 3944 3963 1577,22.32 m,58.24 m
DSC07020.JPG,7008 3944 3898 2169,46.55 m,58.24 m
DSC07025.JPG,7008 3944 3241 1158,44.58 m,58.24 m
DSC07027.JPG,7008 3944 1719 986,28.93 m,58.24 m
DSC07030.JPG,7008 3944 2146 1996,18.60 m,26.26 m
DSC07031.JPG,7008 3944 2080 862,11.08 m,26.26 m
DSC07033.JPG,7008 3944 2890 1068,13.75 m,26.26 m
DSC07036.JPG,7008 3944 4500 1914,57.79 m,58.24 m
DSC07038.JPG,7008 3944 2836 1955,39.15 m,58.24 m
DSC07039.JPG,7008 3944 3087 1832,39.15 m,58.24 m
DSC07040.JPG,7008 3944 2551 1635,40.88 m,58.24 m
DSC07041.JPG,7008 3944 2649 1273,46.55 m,58.24 m
DSC07044.JPG,7008 3944 3504 2169,55.34 m,58.24 m
DSC07045.JPG,7008 3944 2748 1240,50.76 m,58.24 m
DSC07046.JPG,7008 3944 2398 1322,48.61 m,58.24 m
DSC07047.JPG,7008 3944 2332 1479,46.55 m,58.24 m
DSC07048.JPG,7008 3944 4084 1799,44.58 m,58.24 m
DSC07049.JPG,7008 3944 3142 1610,48.61 m,58.24 m
DSC07052.JPG,7008 3944 2595 1824,48.61 m,58.24 m
DSC07053.JPG,7008 3944 4489 1972,44.58 m,58.24 m
DSC07054.JPG,7008 3944 4292 1972,40.88 m,58.24 m
DSC07055.JPG,7008 3944 2485 1306,46.55 m,58.24 m
DSC07056.JPG,7008 3944 4489 1700,44.58 m,58.24 m
DSC07057.JPG,7008 3944 4620 1889,40.88 m,58.24 m
DSC07058.JPG,7008 3944 2836 2555,44.58 m,58.24 m
DSC07060.JPG,7008 3944 2748 1101,37.50 m,58.24 m
