SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
20221008_164049.JPG,,,
20221008_164100.JPG,,,
20221008_173559.JPG,,,
20221008_173603.JPG,,,
20221008_173620.JPG,,,
20221008_173814.JPG,,,
20221008_173816.JPG,,,
20221008_173847.JPG,,,
20221008_174123.JPG,,,
20221008_181037.JPG,,,
20221008_181303.JPG,,,
20221008_181434.JPG,,,
20221008_182447.JPG,,,
20221008_182647.JPG,,,
20221008_182704.JPG,,,
20221009_165011.JPG,,,
DSC01460.JPG,7008 3944 3044 1963,71.75 m,36.24 m
DSC01461.JPG,7008 3944 2934 2054,71.75 m,36.24 m
DSC01463.JPG,7008 3944 5606 2045,74.92 m,36.24 m
DSC01464.JPG,7008 3944 3285 1881,65.80 m,36.24 m
DSC01465.JPG,7008 3944 3383 1799,85.31 m,36.24 m
DSC01466.JPG,7008 3944 5256 1848,74.92 m,36.24 m
DSC01467.JPG,7008 3944 4358 1799,89.09 m,36.24 m
DSC01468.JPG,7008 3944 4358 1799,97.14 m,32.62 m
DSC01470.JPG,7008 3944 4358 1799,65.80 m,32.62 m
DSC01471.JPG,7008 3944 3504 1972,55.34 m,36.24 m
DSC01472.JPG,7008 3944 3504 1972,53.00 m,36.24 m
DSC01477.JPG,7008 3944 3504 1972,48.61 m,36.24 m
DSC01478.JPG,7008 3944 3504 1972,55.34 m,32.62 m
DSC01479.JPG,7008 3944 3504 1972,55.34 m,32.62 m
DSC01480.JPG,7008 3944 3504 1972,42.69 m,36.24 m
DSC01481.JPG,7008 3944 3504 1972,50.76 m,36.24 m
DSC01482.JPG,7008 3944 3504 1972,71.75 m,36.24 m
DSC01483.JPG,7008 3944 3504 1972,85.31 m,32.62 m
DSC01484.JPG,7008 3944 3504 1972,97.14 m,32.62 m
DSC01485.JPG,7008 3944 3504 1972,81.70 m,32.62 m
DSC01486.JPG,7008 3944 3504 1972,81.70 m,32.62 m
DSC01487.JPG,7008 3944 3504 1972,81.70 m,36.24 m
DSC01489.JPG,7008 3944 3504 1972,81.70 m,32.62 m
DSC01490.JPG,7008 3944 3504 1972,89.09 m,32.62 m
DSC01491.JPG,7008 3944 3504 1972,68.71 m,32.62 m
DSC01492.JPG,7008 3944 3504 1972,89.09 m,36.24 m
DSC01493.JPG,7008 3944 3504 1972,93.03 m,32.62 m
DSC01494.JPG,7008 3944 3504 1972,93.03 m,29.12 m
DSC01495.JPG,7008 3944 3504 1972,60.35 m,32.62 m
DSC01496.JPG,7008 3944 3504 1972,65.80 m,36.24 m
DSC01498.JPG,7008 3944 3504 1972,78.24 m,36.24 m
DSC01499.JPG,7008 3944 3504 1972,74.92 m,32.62 m
DSC01500.JPG,7008 3944 3504 1972,74.92 m,36.24 m
DSC01501.JPG,7008 3944 3504 1972,74.92 m,36.24 m
DSC01502.JPG,7008 3944 3504 1972,74.92 m,29.12 m
DSC01503.JPG,7008 3944 3504 1972,85.31 m,29.12 m
DSC01504.JPG,7008 3944 3504 1972,85.31 m,36.24 m
DSC01505.JPG,7008 3944 3504 1972,78.24 m,32.62 m
DSC01510.JPG,7008 3944 3504 1972,93.03 m,32.62 m
DSC01511.JPG,7008 3944 3504 1972,78.24 m,32.62 m
DSC01512.JPG,7008 3944 3504 1972,110.62 m,32.62 m
DSC01513.JPG,7008 3944 3504 1972,93.03 m,32.62 m
DSC01514.JPG,7008 3944 3504 1972,71.75 m,32.62 m
DSC01515.JPG,7008 3944 3504 1972,71.75 m,32.62 m
